gender,age,wyr,mstat,stdate,consist,achieve,defer,order,exhib,auto,affi,inter,suco,domi,abas,nurt,chang,endu,heter,agg,rank
1,28,5.1,1,8/1/2018,9,12,19,20,7,11,14,22,12,10,22,19,10,25,2,5,1
1,29,4.1,1,8/1/2019,12,18,16,18,10,10,18,20,10,15,16,22,16,14,4,3,1
1,28,4.5,1,3/1/2019,11,17,15,17,14,9,16,22,12,14,16,16,15,20,2,5,1
2,28,3.8,1,12/1/2019,11,12,12,24,8,8,15,18,11,12,15,21,19,22,2,11,1
1,28,4.7,1,1/1/2019,13,11,17,16,14,3,14,26,12,16,16,23,8,24,4,6,1
1,30,4.1,1,8/1/2019,12,15,11,13,13,11,14,14,17,15,17,24,11,24,2,9,1
1,29,5.8,1,12/1/2017,10,12,8,16,12,7,19,17,17,15,21,21,18,22,4,1,1
1,52,4.1,1,10/1/2019,11,17,15,21,13,3,17,21,9,14,9,21,14,25,4,7,1
1,28,3.9,1,11/1/2019,11,15,13,21,13,5,17,12,15,9,19,21,18,24,7,1,1
1,30,5.2,1,7/1/2018,10,17,10,20,15,11,17,22,12,13,12,17,23,17,3,1,1
1,27,4.8,1,12/1/2018,14,16,17,22,12,6,16,17,15,21,9,17,15,19,5,3,1
1,29,5.4,1,5/1/2018,10,10,14,23,15,9,13,21,10,17,14,18,13,20,3,10,1
1,31,4.1,1,8/1/2019,12,16,15,15,9,17,14,22,11,6,18,17,11,23,8,8,1
1,28,4,1,10/1/2019,12,17,11,13,9,10,18,19,23,8,21,19,15,18,4,5,1
1,27,3.6,1,2/1/2020,9,12,13,12,12,10,17,20,14,18,20,15,14,15,12,6,1
1,28,5.4,1,5/1/2018,10,19,11,26,13,6,17,17,11,10,12,22,22,19,2,3,1
1,33,5.6,1,2/1/2018,12,10,8,14,15,13,14,16,13,19,18,14,14,14,14,14,1
1,28,5.7,1,1/1/2018,10,14,3,15,11,10,15,19,20,18,16,24,15,19,3,8,1
1,33,6.1,1,8/1/2017,13,17,14,18,18,8,19,23,11,16,16,21,5,20,2,2,1
1,30,5.1,1,8/1/2018,10,19,12,24,15,5,12,17,12,16,12,19,11,21,5,10,1
1,27,3.6,1,2/1/2020,11,12,12,13,11,5,15,20,20,16,18,22,11,21,5,9,1
1,25,2.1,1,8/1/2021,12,15,13,22,14,16,18,16,8,12,12,20,12,24,6,2,1
1,30,5.8,1,12/1/2017,13,9,11,17,11,8,18,26,17,11,17,17,17,19,5,7,1
1,28,1.9,1,9/9/2023,12,19,20,17,12,9,11,21,17,27,6,13,5,15,2,16,1
1,29,4.3,1,6/1/2019,11,16,11,19,8,7,15,19,20,11,15,19,12,25,4,9,1
1,29,4.3,1,6/1/2019,14,12,15,24,11,3,16,21,14,11,20,19,12,25,4,3,1
1,26,3.6,1,2/1/2020,7,5,5,9,5,2,2,5,1,0,0,0,0,0,0,0,1
1,30,2.2,1,7/1/2021,13,11,11,15,14,18,12,22,12,15,13,20,22,17,1,7,1
1,29,6.1,1,8/1/2017,14,11,16,15,10,11,16,18,10,20,20,22,11,20,2,8,1
1,27,2.5,1,4/1/2021,10,16,15,19,17,6,15,24,15,15,15,17,12,19,1,4,1
1,27,4.6,1,2/1/2019,15,13,12,14,20,11,18,23,10,10,20,25,15,15,4,0,1
1,30,4.5,1,9/1/2018,15,10,12,16,15,12,14,24,9,15,14,18,23,18,3,7,1
1,28,5.4,1,5/1/2018,7,14,18,17,19,16,13,17,16,16,12,9,15,18,6,4,1
1,27,5.1,1,8/1/2018,12,12,10,18,13,11,14,18,20,23,12,16,9,21,2,11,1
1,29,1.9,1,11/1/2021,11,14,12,24,13,6,15,15,16,13,21,21,16,17,3,4,1
